Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
Lo importante es que estes tú bien	0	0	3	1	1	1	0	2	0	0	6	0	0	0	3	0	0	2	1	0	0	1	0	0	0	0	0	0	2	2	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	3	0	1	0	0	1	0	0	0	0	6	0	5	0	0	1	1	0	0	4	0	0	0	3	6	0	3	0	1	0	1	1	2	1	0	0	3	0	0	0	0	3	2	23	0	0	4	6	59	0	0	0	0	0	0	10	1	1	2	2	0	3	0	0	2	0	0	0	0	1	3	3	0	0	0	0	0	1	1	1	0	5	2	2	0	1	0	0	0	0	3	0	32	0	0	3	1	0	0	0	0	0	0	0	1	0	9	0	0	0	0	0	0	1	0	2	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	2	0	0	0	0	1	0	0	11	3	0	2	0	0	1	0	0	0	0	1	0	2	2	1	0	3	0	13	0	1	1	0	6	0	0	4	0	1	0	0	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	1	0	0	0	2	0	0	2	2	0	0	0	1	0	18	2	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	4	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	1	0	0	0	0	3	1	5	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	1	12	0	0	1	0	3	0	0	16	0	0	1	0	0	0	0	0	1	3	1	2	2	0	1	0	0	11	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	5	38	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	7	0	0	2	0	0	2	0	0	0	1	0	2	9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	0	9	1	0	0	2	2	3	0	0
symmetry/symmetry	1	0	0	2	2	1	3	0	0	3	0	0	2	0	0	5	0	1	1	0	0	0	2	0	0	0	1	0	2	0	2	2	0	0	1	0	2	0	1	7	1	1	1	0	1	4	0	0	1	0	2	8	1	0	1	3	0	0	3	0	0	2	0	0	0	1	1	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	6	3	0	1	4	0	0	0	3	0	0	7	0	0	1	0	0	0	1	1	2	0	4	9	0	0	7	1	0	0	1	1	1	0	2	1	1	0	2	0	1	1	4	0	1	0	0	0	0	1	1	0	0	1	1	2	0	0	1	0	2	0	0	1	2	0	1	0	0	1	0	0	0	2	1	2	0	0	0	1	9	2	0	1	0	1	1	1	7	0	1	1	1	0	1	1	1	0	1	0	0	5	3	0	1	0	0	0	2	4	0	2	1	0	4	0	1	0	0	0	0	1	0	10	5	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	5	0	0	0	0	0	1	2	0	1	1	0	0	0	6	0	0	2	1	1	2	0	0	0	1	1	0	1	1	1	0	1	0	4	0	0	0	4	5	0	0	1	2	0	2	0	0	1	0	0	1	0	1	1	0	0	5	0	0	0	0	0	0	0	7	1	0	1	0	6	0	3	1	0	0	1	1	0	0	0	0	0	3	0	0	0	0	0	1	1	0	0	0	1	2	0	0	2	0	1	0	0	0	4	0	0	0	2	0	0	0	0	3	0	0	0	0	2	2	0	0	2	0	0	1	0	2	5	7	0	0	0	0	0	0	0	10	0	0	1	0	0	1	0	1	6	3	3	1	0	1	2	0	0	1	0	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	1	0	0	0	6	1	0	1	0	2	0	1	0	1	1	2	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	2	0	3	0	0	1	0	6	0	1	0	1	0	0	1	0	0	1	0	0	2	2	0	1	1	0	2	0	1	0	0	0	3	2	0	1	0	0	1	1	0	0	0	0	2	1	0	0	10	1	0
Kid F	4	0	10	2	19	1	0	5	2	2	0	1	5	0	2	0	4	0	1	4	10	0	7	14	2	2	6	7	1	3	7	9	2	8	4	4	3	14	7	1	0	0	0	0	3	0	3	3	4	0	1	2	0	0	3	3	4	0	0	0	0	0	0	14	2	0	2	4	1	1	3	10	0	6	0	3	3	0	6	4	1	4	6	0	0	10	15	6	1	0	5	10	2	4	0	0	0	0	0	1	4	6	12	2	3	1	0	0	0	1	0	1	1	3	6	0	2	5	1	0	3	5	0	10	5	0	0	1	1	14	8	4	4	3	2	1	2	0	7	1	1	0	7	9	1	17	1	1	1	3	1	8	6	8	1	0	0	1	6	5	4	1	0	1	0	6	1	11	2	0	2	2	9	2	0	1	1	1	3	2	2	3	7	1	12	3	1	3	1	6	1	2	1	0	1	8	1	10	1	5	0	0	0	9	10	2	11	3	1	1	2	3	1	5	12	7	2	7	3	3	2	2	8	6	1	0	0	4	2	0	1	0	3	3	3	1	6	3	13	0	7	0	0	3	13	0	3	2	5	6	0	0	1	1	2	0	5	0	0	0	7	1	3	3	0	2	0	0	1	5	5	0	3	2	1	0	2	0	1	0	0	3	1	6	6	0	4	4	1	1	1	5	7	3	0	0	2	3	11	0	8	1	1	2	6	6	4	0	1	4	1	2	1	1	1	1	4	8	3	0	9	7	3	8	7	1	2	2	6	5	0	4	0	2	1	1	0	4	5	1	7	0	1	4	0	6	1	0	0	1	3	0	1	0	2	1	7	0	4	2	0	1	8	0	4	15	12	2	7	1	7	6	3	0	0	3	2	0	1	2	3	57	1	6	0	2	0	1	0	3	4	2	1	1	1	0	2	4	6	0	2	0	0	0	5	0	0	1	2	1	0	9	0	4	3	0	0	1	2	0	2	2	1	1	1	6	9	0	0	4	0	0	0	0	2	0	2	5	4	0	0	6	6	1	2	0	3	0	0	0	1	2	0	0	1	1	0	5	0	1	0	2	8	5	0	2	0	2	0	5	1	1	3	4	1	2	6	0	0	2	3	5	0	7	1	4	0	1	8	0	1	0	0	0	4	12	24	1	2	2
bittersweet	6	0	3	12	20	3	1	3	1	3	1	3	16	7	6	0	0	0	0	8	1	0	8	4	0	0	2	6	12	8	2	6	0	0	0	1	39	0	2	0	3	6	7	0	3	2	31	0	4	0	0	1	2	0	30	2	1	0	6	1	3	1	0	3	0	6	8	1	0	7	0	1	0	12	0	0	0	1	3	13	48	35	5	0	0	1	0	0	0	4	10	0	0	0	0	0	0	0	0	0	1	17	39	1	4	0	3	0	4	0	0	0	3	6	11	0	0	0	0	0	1	5	1	1	14	0	0	0	44	4	10	0	8	4	6	0	1	1	0	0	0	0	1	19	6	1	1	4	0	32	0	2	6	6	0	0	2	2	0	4	2	2	6	2	0	3	0	6	9	0	1	2	2	1	0	2	0	0	0	0	4	1	6	0	12	0	0	0	7	16	0	0	20	13	2	25	0	2	0	19	1	0	0	12	0	0	10	1	2	0	0	0	1	0	0	7	1	5	15	1	0	1	9	8	0	2	0	10	1	0	1	0	0	5	6	0	3	5	21	7	2	1	0	0	0	2	2	1	3	0	1	1	0	0	5	0	0	1	0	0	7	1	0	0	0	3	2	0	0	0	0	0	35	0	19	13	2	1	0	0	1	0	9	0	5	0	0	9	3	0	18	3	6	4	0	2	2	2	11	1	9	0	0	0	0	2	1	2	2	4	0	0	0	4	0	2	11	3	0	0	10	2	2	0	2	1	2	1	0	0	1	8	0	2	0	2	0	18	3	1	3	0	0	10	10	0	0	0	18	1	16	0	10	2	2	0	2	0	16	5	2	0	30	0	4	21	0	5	6	0	16	8	0	1	0	4	3	0	1	1	9	0	0	1	5	6	0	1	9	1	0	6	2	0	0	0	6	7	46	1	5	0	3	0	0	3	0	3	2	0	2	18	0	25	30	8	3	2	1	0	6	0	0	0	2	32	17	1	0	0	7	0	1	5	0	6	2	24	8	0	6	9	0	0	4	1	1	1	0	2	2	4	0	6	0	0	0	3	1	4	1	11	1	8	2	8	5	0	0	3	6	7	4	1	2	0	5	0	3	3	1	9	0	2	0	2	10	2	7	0	39	0	7	0	0	0	0	1	8	6
Swinging Singles Club	1	1	0	3	4	3	0	3	2	1	0	0	1	1	3	2	1	38	0	1	1	4	1	16	2	2	27	10	1	2	4	1	1	0	1	8	0	1	2	0	16	0	1	0	5	0	16	0	9	36	6	5	7	0	6	0	0	0	2	5	0	8	3	0	0	1	1	0	0	2	0	0	1	0	0	0	0	0	1	5	1	2	0	2	1	6	0	0	8	3	1	5	1	1	15	14	1	0	1	2	2	2	16	10	2	0	0	5	1	1	1	0	2	0	5	3	1	0	0	1	1	13	7	4	1	4	0	4	30	6	2	1	8	11	0	0	0	0	5	0	0	3	4	2	7	2	0	2	1	3	0	1	2	0	2	2	2	2	3	2	2	3	1	4	0	0	0	1	0	4	1	5	1	7	12	0	2	1	7	0	5	1	7	15	8	0	1	0	2	6	0	0	0	2	1	1	7	3	0	6	0	0	4	1	7	0	1	3	2	2	2	2	3	1	0	2	0	2	1	3	9	3	0	4	1	1	0	7	3	2	1	0	0	0	2	0	17	2	3	3	5	1	2	4	0	0	0	2	9	0	2	2	1	5	1	9	1	4	0	1	5	13	0	0	4	1	2	2	0	2	4	0	3	0	1	0	2	22	1	0	1	0	0	2	15	11	0	1	4	18	1	1	1	0	5	0	1	4	6	1	7	1	1	1	3	0	5	4	2	0	0	0	3	4	0	0	7	4	0	0	0	0	1	3	0	0	0	2	2	3	8	3	0	5	6	2	2	5	1	3	7	1	0	5	0	0	0	5	2	8	8	0	0	6	1	3	5	5	6	1	1	4	39	5	3	0	0	8	5	0	7	4	0	0	16	0	0	1	3	1	9	0	3	0	2	7	3	6	3	0	1	3	1	3	3	2	0	3	1	1	3	11	0	0	1	4	2	0	3	1	4	12	1	9	5	6	1	5	0	0	0	6	0	0	0	1	5	1	30	1	3	6	1	0	0	1	8	3	1	6	5	0	1	0	1	2	1	0	2	3	3	4	21	1	35	0	2	0	1	6	0	2	5	6	0	1	0	3	23	0	6	0	1	1	0	2	4	2	1	0	0	1	0	1	0	0	8	7	1	0	4	0	0	0	1	0	0	1	1	5
Room 19's Blog 2016	0	0	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sweeping the kitchen	1	0	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	4	0	0	1	0	0	0	0	3	0	1	0	0	0	0	4	0	0	1	0	2	0	0	1	0	0	0	0	0	1	3	1	0	1	0	3	0	0	3	0	1	0	1	0	0	0	0	1	0	0	0	0	2	1	1	0	0	1	0	0	0	2	2	0	1	0	0	1	2	1	3	0	0	0	1	0	0	0	0	1	2	1	0	1	0	2	0	0	0	0	1	0	2	0	1	0	0	9	1	0	1	0	2	2	0	0	0	2	7	0	0	0	0	4	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	5	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	1	1	0	0	1	0	1	1	1	0	1	0	1	0	0	3	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	1	0	0	0	1	3	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	0	0	1	1	0	0	0	4	0	1	1	0	0	4	2	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	2	0	0	0	0	0	2	0	0	0	2	6	0	0	0	0	0	2	0	0	0	0	0	7	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	2	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0
One Stunning Single Egg	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0
Rants from the Pants	1	0	1	7	9	9	1	0	6	12	1	6	1	7	4	0	2	0	1	1	0	0	8	7	0	4	12	3	5	16	2	3	1	2	0	4	3	0	0	25	1	0	3	1	4	5	6	0	6	0	1	1	5	0	8	2	3	0	2	0	1	1	0	6	1	2	0	2	2	0	1	0	4	1	0	0	0	0	4	3	1	7	5	2	0	2	0	0	0	3	10	0	2	0	0	0	0	0	0	6	1	12	8	6	3	26	2	0	2	4	0	0	4	1	11	2	1	1	0	0	0	4	4	7	1	1	0	0	7	6	14	5	1	0	3	2	4	2	4	0	2	1	2	3	0	7	1	0	0	10	4	3	5	3	5	0	5	3	1	0	3	1	7	1	0	4	0	7	1	0	2	1	5	1	0	2	2	1	2	1	2	1	15	5	5	2	6	0	2	3	2	4	0	4	3	14	0	4	1	4	0	0	0	2	0	0	7	0	2	2	0	0	4	0	0	0	2	8	7	0	0	6	0	4	1	4	0	5	3	0	0	0	2	8	4	0	0	4	16	1	0	0	3	1	0	0	0	8	8	0	0	5	0	9	3	0	2	0	1	0	3	9	0	0	0	3	0	6	0	2	6	2	6	2	1	0	2	2	0	0	0	0	3	0	3	0	10	0	1	4	4	1	4	1	0	1	2	7	2	1	5	1	2	1	0	5	4	4	4	9	7	1	1	8	1	1	4	4	0	1	4	3	0	0	6	2	4	1	2	2	5	5	0	6	1	0	0	16	5	1	2	0	1	4	6	0	1	3	4	3	2	3	7	0	1	3	2	0	1	5	0	5	14	0	3	9	0	6	6	1	2	5	0	0	0	0	0	1	1	1	9	0	0	0	3	0	0	2	12	2	2	5	0	0	9	0	3	5	1	1	3	1	2	1	3	2	0	0	3	14	1	3	1	7	8	2	9	0	1	2	1	2	0	1	1	3	10	3	0	0	0	1	0	3	1	3	1	7	2	1	1	0	0	10	3	1	0	1	0	5	3	0	0	6	2	0	0	2	4	7	1	5	3	2	0	2	0	0	0	1	1	1	1	1	1	1	5	5	0	3	0	3	0	2	0	1	1	1	24	0	8	0	2	0	0	0	0	2	3	4
The Kids Are Coming Up From Behind	9	10	64	5	12	4	5	27	11	6	0	7	6	13	5	11	0	20	10	0	84	8	5	11	7	30	2	2	7	0	0	4	4	14	1	5	4	1	11	1	6	38	2	2	14	7	20	21	34	24	2	0	4	3	1	12	4	0	1	17	5	7	3	6	1	11	3	5	0	9	5	67	0	10	0	21	21	0	11	9	8	9	16	0	15	2	105	42	0	23	13	68	1	21	11	15	50	0	2	2	0	5	12	9	15	1	22	13	11	17	0	5	30	24	8	0	3	2	0	6	5	9	12	2	5	20	14	19	12	14	55	5	7	15	1	3	5	11	4	56	1	10	11	4	3	5	16	4	11	4	22	18	15	8	2	3	13	1	2	17	6	20	4	2	2	12	3	18	2	38	5	12	3	0	9	4	2	3	7	7	9	9	4	0	1	7	8	21	2	13	4	1	29	14	15	3	21	21	1	7	16	19	15	1	16	4	12	12	6	4	5	21	32	9	127	1	9	7	1	2	17	8	12	9	9	4	42	7	7	0	4	4	7	3	12	59	1	32	6	18	12	7	9	23	4	4	2	13	13	42	3	5	0	20	9	10	4	0	3	14	9	14	21	21	0	4	17	5	5	9	3	0	30	32	2	8	16	2	1	0	2	21	21	10	7	1	7	14	10	14	4	14	12	0	2	1	2	5	3	1	11	14	4	6	23	1	9	1	11	1	7	5	5	10	9	0	14	18	21	0	13	5	11	10	1	2	6	0	7	4	8	2	0	4	1	1	14	12	6	7	24	5	0	5	0	42	2	50	5	39	4	0	4	2	13	0	16	9	6	50	3	14	22	2	4	9	84	15	4	20	12	9	21	0	12	10	3	3	1	32	13	378	2	5	3	3	9	5	0	15	0	12	7	0	14	4	5	25	5	7	6	8	1	7	1	10	2	1	10	5	1	9	4	0	22	31	3	16	15	0	4	1	4	12	8	5	32	0	3	2	13	9	4	6	3	4	10	10	11	4	6	4	42	2	0	4	7	18	18	10	8	45	1	4	19	0	1	34	3	14	36	8	5	7	4	6	6	3	3	10	43	1	4	61	3	11	7	21	2	13	11	3	0	30	1	25	4	8	1	6	12	1	3	0	21	84	169	5	10	10
Time Is Poetry	1	0	0	2	8	0	0	1	1	2	0	2	4	0	6	0	0	0	0	10	2	2	1	4	0	0	1	1	8	0	1	0	1	0	0	0	9	0	1	2	1	3	1	0	0	0	4	0	1	0	0	1	3	0	9	1	0	0	3	3	0	0	0	1	0	1	1	1	0	1	0	1	2	3	0	0	0	3	1	2	0	5	0	0	0	0	0	0	0	8	9	1	0	2	0	0	0	0	0	0	0	14	7	3	7	2	0	0	0	1	0	0	0	1	7	0	2	0	0	0	0	1	4	2	8	0	0	13	8	14	8	1	1	0	1	2	1	6	0	1	0	2	0	6	2	0	0	0	3	0	0	0	4	4	0	0	3	0	4	1	0	1	9	0	0	0	0	0	2	1	7	1	0	0	0	0	0	1	5	3	0	2	1	0	0	2	0	0	0	1	6	1	5	6	2	3	9	5	1	2	0	0	0	1	0	0	11	7	0	14	1	0	0	0	0	0	2	3	5	0	0	0	11	2	1	1	0	5	2	0	2	0	0	2	7	0	2	1	0	0	3	1	0	0	0	2	0	3	0	0	1	1	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	10	0	0	4	0	1	0	0	2	3	2	0	0	0	0	0	0	5	7	0	13	3	0	4	0	5	0	0	1	0	7	0	3	1	1	0	0	12	1	0	0	2	2	1	0	1	0	0	2	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	2	0	1	0	7	0	5	1	0	0	0	0	2	2	0	0	2	1	0	4	2	6	2	0	1	8	0	0	4	0	3	0	0	3	1	0	0	0	0	0	0	0	1	3	0	1	0	4	0	0	0	1	2	0	0	1	0	1	0	2	5	7	1	0	0	4	0	0	1	0	10	0	2	1	1	0	2	2	3	3	3	0	0	0	0	2	2	1	13	1	0	0	1	3	0	0	2	0	1	0	1	2	0	3	9	0	0	0	0	3	0	0	4	4	0	0	1	0	5	0	1	0	0	0	4	0	3	1	0	0	0	0	7	2	11	2	0	0	6	0	0	0	2	7	0	0	2	1	0	0	2	2	0	1	1	13	0	2	0	0	4	10	3
this time tomorrow	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
